TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,RA (deg),Dec (deg),Mookodi Comp,SHOC Comp,Num Transits,Transit Times
44510874,2925.01,,3,4,3,3,3,4,4,23.8,86.7,52.08,0,0,1,PC,PC,11.49,0.007,,1,qlp-s36-tois,FAINT,09:41:52.94,-41:29:00.96,-15.85,0.098,11.659,0.102,2459302.564351,0.0011891,1.5720089,4.7e-06,1.257,0.171,2.968113,0.004361,2730.0,4.01688,8.25698,0.514993,1224.0,1647.0,19.0,504.705,14.1235,7164.0,137.5,4.28,0.09,1.51,0.07,,,1.6,0.271725,"9,35,36",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,145.47058333333334,-41.4836,23,3,3,"['2025-02-13T23:45:52.528' '2025-02-14T01:01:17.728'
 '2025-02-21T20:24:20.373' '2025-02-21T21:39:45.573'
 '2025-02-24T23:51:43.511' '2025-02-25T01:07:08.711']"
34499178,2926.01,,3,4,3,3,1,4,4,18.6,45.5,126.62,0,0,0,PC,PC,13.1845,0.006,,1,qlp-s36-tois,FAINT,09:47:34.64,-44:56:20.12,-12.632,0.031,8.679,0.032,2459303.198309,0.0028352,2.4249041,1.87e-05,4.225,0.293,6.129967,0.004269,5630.0,3.93217,13.9253,,3929.91,2205.0,18.0,1301.83,34.325,6632.0,122.0,4.01,,1.92,,,,1.39,,"9,35,36",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,146.89433333333335,-44.93892222222222,72,6,1,['2025-02-12T18:06:10.014' '2025-02-12T22:19:40.014']
29336129,2933.01,,5,5,5,5,5,5,5,23.5,62.3,80.42,0,0,1,EB,FP,12.5246,0.006,,1,spoc-s01-s65-b0A-PC,FAINT,08:51:29.21,-47:44:21.14,0.088,0.041,1.337,0.041,2459989.636228,0.006923556,1.63638219397965,0.0004119648,5.2796046260831,0.46635485,2.591343,0.337418,2383.86903865495,310.72556,10.6745488938744,4.354529,4767.18687290574,2119.26513641376,12.793624,762.471,13.8775,6361.0,137.0,4.09,0.08,1.67869997024536,0.0733066,,,1.27,0.192348,"8,9,35,36,62,63",2021-06-04,2024-09-08,2024-09-08 00:00:00,found in faint-star QLP search; centroid offset near TIC 29336132 (Tmag~18.2) in SPOC multisector; retired as TFOP FP/NEB,132.87170833333334,-47.73920555555556,56,2,2,"['2025-02-12T20:27:52.827' '2025-02-13T01:44:39.403'
 '2025-02-17T18:17:03.091' '2025-02-17T23:33:49.668']"
28945511,2934.01,,3,4,3,3,3,4,4,12.1,55.8,23.54,0,0,1,PC,PC,12.8016,0.006,,1,qlp-s09-faintsearch,FAINT,08:49:51.49,-43:17:08.94,-25.357,0.024,1.121,0.027,2459278.683684,0.0036219,1.1239749,6.2e-06,1.011,0.201,2.38037,0.013417,2190.0,12.3574,5.17993,0.436021,910.705,1530.0,9.0,466.664,3.52,6220.0,130.8,4.56,0.08,0.95,0.04,,,1.2,0.161641,"8,9,35",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,132.46454166666666,-43.28581666666666,41,2,2,"['2025-02-19T20:12:54.089' '2025-02-19T21:13:33.689'
 '2025-02-20T23:11:25.521' '2025-02-21T00:12:05.121']"
22020459,2936.01,,5,5,5,5,5,5,5,10.1,36.3,42.61,0,0,1,EB,FP,12.5961,0.008,,1,qlp-s09-faintsearch,FAINT,09:51:24.87,-25:35:38.09,-2.838,0.056,2.228,0.058,2459988.479583,0.0052641598,1.3328042,1e-05,2.75,0.284,2.130131,0.002843,1960.0,2.6188,7.33432,0.496805,5718.54,2422.0,14.0,923.797,26.82,6561.0,135.8,4.12,0.09,1.67,0.09,,,1.36,0.22029,"8,9,35,62",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,147.853625,-25.59391388888889,22,3,3,"['2025-02-14T23:09:01.555' '2025-02-15T01:54:01.555'
 '2025-02-18T23:06:44.404' '2025-02-19T01:51:44.404'
 '2025-02-22T23:04:27.252' '2025-02-23T01:49:27.252']"
462072242,2960.01,,3,4,3,3,1,4,4,44.0,63.4,317.0,0,0,0,PC,PC,13.0013,0.009,,1,qlp-s37-tois,FAINT,10:01:45.49,-54:06:49.14,-11.118,0.087,6.892,0.082,2459332.140887,0.0035806,2.0916623,1.4e-05,3.274,0.683,5.988031,0.684931,5500.0,630.646,22.2405,,10586.0,2825.0,19.0,1421.21,92.24,6600.0,122.0,3.83,,2.36,,,,1.38,,"9,10,36,37",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search; v-shaped,150.43954166666668,-54.11365,100,6,2,"['2025-02-22T19:16:27.414' '2025-02-22T22:32:53.814'
 '2025-02-24T21:28:27.036' '2025-02-25T00:44:53.436']"
136504576,2966.01,,3,4,3,3,3,4,4,14.1,32.7,67.16,0,0,1,PC,PC,12.4016,0.006,,1,qlp-s36-tois,FAINT,10:02:55.53,-48:37:42.21,-15.649,0.043,6.831,0.041,2459304.992295,0.0042054,1.5252473,1.03e-05,2.343,0.318,1.87995,0.004094,1730.0,3.7708,9.59771,0.753452,1941.1,1849.0,14.0,852.718,20.6405,5698.0,131.9,3.67,0.08,2.44,0.14,,,1.01,0.130301,"9,10,36",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,150.731375,-48.628391666666666,49,5,4,"['2025-02-13T20:57:05.204' '2025-02-13T23:17:40.004'
 '2025-02-16T22:09:47.938' '2025-02-17T00:30:22.738'
 '2025-02-19T23:22:30.671' '2025-02-20T01:43:05.471'
 '2025-02-23T00:35:13.404' '2025-02-23T02:55:48.204']"
315096343,2978.01,,3,4,3,3,3,4,4,10.1,34.7,47.27,0,2,1,PC,PC,11.6687,0.007,,1,qlp-s09-faintsearch,FAINT,09:40:38.63,-26:38:31.32,4.442,0.064,0.31,0.064,2459275.540633,0.0039272,4.3497551,2.83e-05,3.704,0.511,1.858198,0.002099,1710.0,1.93294,7.82395,0.492717,607.963,1383.0,17.0,547.599,12.3555,5667.3,224.6,4.35,2.0,1.88,0.1,,,1.02,0.131508,"8,9,35",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,145.16095833333333,-26.64203333333333,20,3,1,['2025-02-21T18:45:36.265' '2025-02-21T22:27:50.665']
168384845,2985.01,,3,4,3,3,3,4,4,11.6,31.8,100.02,0,0,1,PC,PC,12.9575,0.007,,1,qlp-s09-faintsearch,FAINT,11:05:55.17,-27:46:06.02,-8.782,0.043,3.373,0.034,2458563.068798,0.0050948,3.8996784,0.001763,4.668,0.45,3.719582,0.006888,3420.0,6.34411,12.1415,0.868678,1690.71,1786.0,12.0,1262.02,38.39,6382.0,128.6,3.94,0.09,2.01,0.11,,,1.28,0.189142,9,2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,166.47987500000002,-27.768338888888888,10,0,2,"['2025-02-16T21:26:28.170' '2025-02-17T02:06:32.970'
 '2025-02-20T19:02:00.384' '2025-02-20T23:42:05.184']"
105759569,2988.01,,3,4,3,3,3,4,4,15.3,48.7,46.03,0,0,1,PC,PC,12.426,0.006,,1,qlp-s36-tois,FAINT,10:25:33.09,-37:24:27.56,-5.642,3.255,-12.316,3.254,2459303.174166,0.0024433,1.8865581,7.8e-06,1.699,0.329,3.425467,0.007278,3150.0,6.70357,7.71451,,646.542,,13.0,441.41,,5564.2,,,,1.36,,0.208857,0.0738481,,,"9,36",2021-06-04,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,156.38787499999998,-37.40765555555556,34,5,3,"['2025-02-20T23:45:47.722' '2025-02-21T01:27:44.122'
 '2025-02-22T21:02:26.341' '2025-02-22T22:44:22.741'
 '2025-02-24T18:19:04.961' '2025-02-24T20:01:01.361']"
