TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,RA (deg),Dec (deg),Mookodi Comp,SHOC Comp
49411575,6594.01,,3,4,3,3,1,4,4,31.4,32.9,317.0,0,0,0,PC,PC,12.9822,0.007,,1,qlp-s64-faintsearch,FAINT,13:42:25.91,-29:48:02.31,-7.042,0.046,-5.679,0.051,2460064.819932,0.0026237,2.67581,0.0005692,2.288,0.303,9.94296,0.586688,9116.0,540.214,15.7041,1.05111,709.373,1437.0,22.0,1006.66,30.3965,6171.0,131.7,4.07,0.09,1.66,0.09,,,1.18,0.175472,64,2023-07-20,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,205.60795833333333,-29.800641666666667,7,0
260539542,6622.01,,3,4,3,3,1,4,4,1.4,14.9,42.82,0,0,0,PC,PC,13.3296,0.006,,1,qlp-s65-faintsearch,FAINT,06:27:47.77,-54:16:46.27,10.729,0.032,-3.447,0.029,2460075.149187,0.0063478,37.8575614,0.000178,7.424,0.388,5.63873,0.179146,5180.0,164.986,7.35774,,32.4592,664.0,23.0,750.839,9.391,5980.0,122.0,4.34,,1.17,,,,1.1,,"1,2,4,5,6,7,8,9,11,12,28,29,31,32,33,34,35,36,38,39,61,62,65",2023-08-15,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,96.94904166666666,-54.279519444444446,21,2
258409964,6625.01,,3,4,3,3,1,4,4,17.7,21.7,317.0,0,0,0,PC,PC,12.9268,0.006,,1,qlp-s65-faintsearch,FAINT,14:47:13.37,-68:31:16.13,-8.301,0.02,-9.675,0.031,2460088.145466,0.0031058,5.4863844,2.15e-05,4.339,0.313,9.664682,0.357366,8862.0,329.092,14.247,0.746823,719.754,1442.0,23.0,954.945,18.3325,6498.0,129.0,4.15,0.09,1.61,0.07,,,1.33,0.205092,"12,38,39,65",2023-08-15,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,221.80570833333334,-68.52114722222223,67,8
256124756,6637.01,,3,4,3,3,1,4,4,43.1,47.6,317.0,0,0,0,PC,PC,13.4658,0.007,,1,qlp-s65-faintsearch,FAINT,13:18:18.51,-59:45:31.26,-21.548,0.024,2.885,0.031,2460094.009392,0.0016408,2.231293,1.04e-05,1.796,0.157,17.750612,1.255196,16216.0,1155.41,15.38,,621.755,1391.0,15.0,782.642,14.794,6356.0,122.0,4.38,,1.19,,,,1.26,,"38,64,65",2023-08-15,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,199.57712500000002,-59.75868333333333,40,3
446918603,6639.01,,3,4,3,3,1,4,4,15.2,51.5,96.06,0,0,0,PC,PC,12.4865,0.006,,1,qlp-s65-faintsearch,FAINT,15:30:25.25,-67:56:19.67,10.159,0.023,1.614,0.041,2460117.137039,0.0018635,8.0136668,2.48e-05,4.056,0.297,8.345474,0.311006,7657.0,286.406,11.825,0.647509,191.471,1036.0,22.0,597.698,8.027,5831.0,127.1,4.17,0.07,1.4,0.07,,,1.05,0.129151,"12,39,65",2023-08-15,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,232.60520833333334,-67.93879722222222,52,5
332887363,6643.01,,3,4,3,3,1,4,4,17.3,18.3,317.0,0,0,0,PC,PC,12.7886,0.006,,1,qlp-s65-faintsearch,FAINT,14:25:17.24,-51:49:04.95,-7.716,0.039,2.322,0.039,2460088.11645,0.0037428,4.8332515,2.44e-05,4.323,0.41,6.494717,0.281371,5964.0,259.119,14.6312,0.830921,907.188,1528.0,18.0,1015.39,21.1745,6431.0,123.7,3.9,0.08,2.11,0.1,,,1.3,0.196758,"11,38,65",2023-08-15,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,216.32183333333333,-51.81804166666667,78,6
161169240,6667.01,TIC 161169240.01,3,5,5,3,1,4,4,,,56.26,0,1,0,PC,APC,12.122,0.006,,1,spoc-CTOIs,CTOI,22:37:25.88,-53:19:08.58,70.376,0.048,-63.345,0.059,2459083.310651,0.0034392055,0.0,0.0,6.66214526122124,0.34651703,5.580707,0.289126,5126.83371176487,266.25946,8.65060706519986,0.7500227,72.9167674261548,745.292243384949,21.16096,466.165,8.586,5952.0,131.124,4.32279,0.0792247,1.19220995903015,0.0591759,,,1.09,0.138414,"28,68",2023-09-21,2024-03-27,2024-08-16 12:02:52,single transit; CTOI from Jana Steuer; still a single transit as of s68,339.3578333333333,-53.319050000000004,6,0
333736132,6669.01,TIC 333736132.01,3,5,5,3,3,4,4,0.0,28.8,80.45,0,0,2,PC,PC,12.0742,0.006,,1,spoc-s01-s65-b0A-PC,CTOI,11:21:06.32,-26:03:59.82,-43.452,0.059,-13.511,0.042,2459283.547474,0.0009794661,731.996653902604,5.7675457e-05,2.89254296731904,0.09472283,17.625875,0.469847,16102.9689948534,432.6514,10.6774532616147,0.8291878,9.84370734495065,451.761714520092,30.369656,183.078,1.2805,4722.0,127.053,4.55866,0.0931376,0.756772994995117,0.0555528,,,0.756,0.0869614,"36,63",2023-09-21,2024-01-18,2024-01-27 12:11:53,additional transit in Y1; minimum period is ~22.9 d; maximum period is 732 d; CTOI from Guoyou Sun,170.27633333333335,-26.06661666666667,3,0
53843023,6671.01,TIC 53843023.01,2,5,5,2,3,4,4,,,10.33,0,2,2,PC,PC,10.3852,0.006,,1,spoc-CTOIs,CTOI,21:50:33.33,-26:33:23.44,9.312,0.073,-13.399,0.07,2458328.036098,0.0028876602,0.0,0.0,2.47558730788245,0.63313097,1.702231,0.206579,1566.58403484399,190.24838,3.19197618207218,2.97876,16.5103821073409,514.113526771209,8.971992,92.1219,0.4299,4713.0,125.814,4.49053,0.094358,0.815267980098724,0.0598116,,,0.75,0.0907651,1,2023-09-21,2023-09-21,2025-01-16 00:00:00,single transit; CTOI from Planet Hunters,327.638875,-26.55651111111111,6,2
344034178,6679.01,,3,4,3,3,1,4,4,14.6,74.8,18.39,0,0,0,PC,PC,10.7742,0.006,,1,spoc-s67-b02,SPOC,19:04:34.14,-55:20:50.41,-12.415,1.194,-10.896,1.194,2460128.277222,0.0011382923,2.31700532386705,0.00020887001,1.122278974599,0.11558438,1.868092,0.144731,1719.09717307956,133.29292,4.48112269073883,0.8521317,739.582182291779,1330.04507538899,10.98915,186.982,,5542.0,,4.438,,1.04320001602173,,,,,,67,2023-09-21,2023-09-21,2023-09-25 12:14:10,V-shaped,286.14225,-55.34733611111111,11,3
