source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,phot_rp_mean_flux_over_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error
2146589337027678208,27.569987980243717,0.016409867,14.189243,3.0761747,695.34375,1512.2631,292.96585
4799899598533724672,27.570024513396405,0.013483089,13.863808,2.8317242,1180.1902,2237.0227,363.8576
1686450661468663552,27.57051759630542,0.01894617,14.643308,2.826805,1129.748,2235.8281,354.50623
3059515898856688000,27.571878532719392,0.095554024,17.471422,0.9564457,110.83261,885.5618,71.20646
4035993279361869568,27.574146618416513,0.07020554,16.247274,3.650096,456.27524,1175.1796,45.11932
3028229020612461824,27.57490122271207,0.013533468,10.689182,1.7792063,2231.6401,3497.3076,1437.8987
2379083613339082368,27.575183077484745,0.018365858,13.771484,2.874754,772.89935,1779.772,308.77386
49102063289298944,27.575481207207222,0.014879857,10.005727,1.5692396,2316.4373,4298.738,1729.3579
3949356985704318464,27.57634670429138,0.13857175,17.675785,4.6965885,244.90144,753.9991,7.868488
3881878956382946432,27.577327286061543,0.020922955,12.53159,2.3176212,2436.7734,2560.1765,1088.5973
2320267025518037760,27.578012030512948,0.03550578,12.832855,2.966958,639.484,1144.7313,153.65233
558574554276665856,27.579977261812598,0.017037887,11.5808325,2.27242,2381.481,3673.5413,1259.9427
4680959790759112320,27.581646116139623,0.09095391,17.14898,4.3893576,432.30347,832.47314,21.866856
3179824465465177984,27.58397103778145,0.024237365,6.1535773,0.6239252,929.66327,5607.038,1860.4869
3593457028981244032,27.58400608625104,0.035129167,15.188681,3.2218008,968.46936,1548.6194,140.35704
565044664809129088,27.584125283903024,0.024525844,15.127873,3.1147738,845.0653,1719.7909,185.55812
5731252295913584768,27.584365596627467,0.022843108,7.13542,0.80102825,2056.5554,6233.257,4934.466
5799828080244639488,27.584736620209657,0.016453117,6.865035,0.701776,1189.0181,2666.2297,830.9706
3043684378825475968,27.58541409753873,0.14201774,17.65445,4.772602,274.183,693.8487,9.469183
