TIC_ID,TIC_ra,TIC_dec,TIC_pmra,TIC_pmdec,TIC_Tmag,TIC_contratio,CTL_flag,CST_flag,MovingGroup,NameInLocalFile,LocalFile
255539640,240.576768,-43.976929,-18.3714,-27.1911,13.9,0.0,False,False,GAIAPMS,b'5994435041298989056',pms_ZARI.dat
255675259,240.743694,-44.922211,0.0,0.0,13.309,0.0,False,False,GAIAPMS,b'5991300883408780288',pms_ZARI.dat
255675774,240.753647,-44.887208,-18.3854,-5.57572,15.458,0.0,False,False,GAIAPMS,b'5991301295725651200',pms_ZARI.dat
255724510,285.295845,23.650329,5.65992,-13.3677,12.522,0.0,False,False,GAIAPMS,b'4533460168468925440',pms_ZARI.dat
255757760,99.581235,-50.69622,-12.7015,15.0513,15.196,0.0,False,False,GAIAPMS,b'5502732341818349440',pms_ZARI.dat
255775007,186.118911,-48.816628,0.0,0.0,11.888,0.0,False,False,GAIAPMS,b'6127066655034735616',pms_ZARI.dat
255775008,186.11998,-48.816711,0.0,0.0,11.863,1.58185148,False,False,GAIAPMS,b'6127066655034735744',pms_ZARI.dat
255775619,186.074153,-49.198807,0.0,0.0,12.512,0.0,False,False,GAIAPMS,b'6126856545236553984',pms_ZARI.dat
256127059,199.412905,-59.292562,-52.2749,-29.334,10.727,0.0,False,False,GAIAPMS,b'6061962578725632640',pms_ZARI.dat
256133686,199.515426,-57.984055,0.0,0.0,11.44,0.0,False,False,GAIAPMS,b'6062366163878110592',pms_ZARI.dat
256137732,199.383958,-56.923828,0.0,0.0,13.514,0.0,False,False,GAIAPMS,b'6063429121069726208',pms_ZARI.dat
256168982,199.468782,-54.911634,-31.1945,-25.6398,13.197,0.0,False,False,GAIAPMS,b'6067196288401603456',pms_ZARI.dat
256181172,276.306138,19.48926,2.70252,-13.2125,12.994,0.0,False,False,GAIAPMS,b'4525355359012852608',pms_ZARI.dat
256235674,268.387862,-34.278896,0.667015,-6.63548,11.362,0.0,False,False,GAIAPMS,b'4041604426435888768',pms_ZARI.dat
256248952,199.903923,-59.009865,0.0,0.0,11.234,0.0,False,False,GAIAPMS,b'6062066448230946432',pms_ZARI.dat
256373966,268.288341,-34.02134,0.400968,-21.3598,13.138,0.0,False,False,GAIAPMS,b'4041623844054614144',pms_ZARI.dat
256590954,200.106884,-58.839114,-34.4009,-13.3445,12.367,0.0,False,False,GAIAPMS,b'6062072839142616192',pms_ZARI.dat
256704102,200.334468,-59.062266,-32.4926,-18.772,9.58,0.0,False,False,GAIAPMS,b'6062016420446377856',pms_ZARI.dat
256711156,200.216792,-57.904564,0.0,0.0,15.284,0.0,False,False,GAIAPMS,b'6062377163335020032',pms_ZARI.dat
256878808,91.170221,3.214766,0.0,0.0,14.586,0.0,False,False,GAIAPMS,b'3315759115231736064',pms_ZARI.dat
256880125,91.130088,4.08779,0.0,0.0,14.613,0.0,False,False,GAIAPMS,b'3318101727833741568',pms_ZARI.dat
256880748,91.158474,4.566415,-4.71488,-7.78856,14.848,0.0,False,False,GAIAPMS,b'3318158249603845632',pms_ZARI.dat
256910601,240.941613,-43.936293,-70.1316,30.9435,17.837,0.0,False,False,GAIAPMS,b'5991459144367064704',pms_ZARI.dat
257048637,226.9884,76.2331,-128.23,164.13,10.929,0.000268453936,True,True,GAIAPMS,b'1701943978599634816',pms_ZARI.dat
257149745,219.716859,-67.946952,-13.7376,-21.5869,12.162,0.0,False,False,GAIAPMS,b'5848155700780379776',pms_ZARI.dat
257178082,330.955831,39.359631,11.665,1.41321,15.095,0.0,False,False,GAIAPMS,b'1956155847245251072',pms_ZARI.dat
257364016,240.998367,-42.232389,-22.4472,-28.762,15.966,0.0,False,False,GAIAPMS,b'5995017988613098368',pms_ZARI.dat
257364877,240.830231,-42.100158,-5.40763,-16.0747,13.168,0.0,False,False,GAIAPMS,b'5995069562582074112',pms_ZARI.dat
257500739,31.191995,-15.581725,2.82785,0.572742,11.655,0.0,False,False,GAIAPMS,b'5147856751974607360',pms_ZARI.dat
257576368,292.612153,-78.424864,-1.17072,-7.58254,15.998,0.0,False,False,GAIAPMS,b'6361329736314209536',pms_ZARI.dat
257609604,292.944145,-77.966331,-2.86224,-0.140333,11.012,0.07719002,True,False,GAIAPMS,b'6365846667519856000',pms_ZARI.dat
257639124,293.305037,-80.526867,4.42613,-22.0406,14.196,0.0,False,False,GAIAPMS,b'6360148860825705088',pms_ZARI.dat
257657655,71.77733,-36.977782,6.49987,-3.08465,15.719,0.0,False,False,GAIAPMS,b'4866705856317433600',pms_ZARI.dat
257687385,74.798099,-40.709595,0.0,0.0,15.23,0.0,False,False,GAIAPMS,b'4813760862450137472',pms_ZARI.dat
257784171,220.705417,-69.977463,0.0,0.0,15.865,0.0,False,False,GAIAPMS,b'5799612468572238848',pms_ZARI.dat
257904800,220.735942,-66.104094,-5.40752,-21.6053,15.571,0.0,False,False,GAIAPMS,b'5848894439501685632',pms_ZARI.dat
257909169,327.667291,21.992368,3.37411,-3.15902,13.117,0.0,False,False,GAIAPMS,b'1793135999834102784',pms_ZARI.dat
258063531,55.429705,28.824459,-4.4546,-2.32348,13.008,0.0,False,False,GAIAPMS,b'71887620709642240',pms_ZARI.dat
258096745,221.063375,-70.130179,-29.4427,-10.3425,15.085,0.0,False,False,GAIAPMS,b'5799595739691817600',pms_ZARI.dat
258101273,221.105402,-71.815266,-61.7616,-43.9873,11.044,0.0,False,False,GAIAPMS,b'5797150387158145920',pms_ZARI.dat
258199860,251.596711,19.26666,5.59796,-10.0887,13.356,0.0,False,False,GAIAPMS,b'4562846059816514944',pms_ZARI.dat
258318732,182.349249,-47.169331,-31.1181,-10.9484,13.185,0.0,False,False,GAIAPMS,b'6131035136093366784',pms_ZARI.dat
258326782,221.330021,-66.701606,-32.6625,-21.6239,11.957,0.0,False,False,GAIAPMS,b'5848805310334669056',pms_ZARI.dat
258340482,270.923953,34.372633,-0.739696,-10.0984,11.795,0.0,False,False,GAIAPMS,b'4604575481028864896',pms_ZARI.dat
258382306,192.704777,-42.523193,0.0,0.0,12.565,0.0,False,False,GAIAPMS,b'6139584010795996160',pms_ZARI.dat
258382313,192.698982,-42.530215,-41.0933,-17.2596,13.337,0.292815536,False,False,GAIAPMS,b'6139583907716775936',pms_ZARI.dat
258453255,196.416125,-45.836037,-27.9932,-11.2,13.608,0.0,False,False,GAIAPMS,b'6134508493328660864',pms_ZARI.dat
258455309,196.442684,-44.293631,-28.7665,-15.2095,12.424,0.0,False,False,GAIAPMS,b'6134976541682753664',pms_ZARI.dat
258511859,305.323463,66.870605,0.0,0.0,14.098,0.0,False,False,GAIAPMS,b'2246573152021431680',pms_ZARI.dat
258518383,196.632656,-44.919253,-26.3401,-15.8813,11.778,0.0,False,False,GAIAPMS,b'6134700873503957888',pms_ZARI.dat
258525050,196.745339,-46.486001,-29.7017,-11.094,11.968,0.0,False,False,GAIAPMS,b'6086395513764172416',pms_ZARI.dat
258583707,196.877697,-45.822029,0.0,0.0,13.766,0.4056261,False,False,GAIAPMS,b'6086566762700232960',pms_ZARI.dat
258583891,196.726663,-45.69203,-33.2393,-19.0162,10.352,0.0,False,False,GAIAPMS,b'6134516941522596352',pms_ZARI.dat
258688345,197.299728,-44.7878,0.0,0.0,14.957,0.0,False,False,GAIAPMS,b'6134717263099250816',pms_ZARI.dat
258787189,197.46192,-46.843773,0.0,0.0,15.507,0.0,False,False,GAIAPMS,b'6086218217514806272',pms_ZARI.dat
258789022,197.495031,-45.460795,-30.822,-17.3689,9.959,0.0,False,False,GAIAPMS,b'6086598923409031040',pms_ZARI.dat
258794982,197.686355,-43.855345,-31.9624,-17.3072,12.984,0.0,False,False,GAIAPMS,b'6136455556618184832',pms_ZARI.dat
258798086,37.710257,6.504727,4.29937,-9.5225,13.117,0.0,False,False,GAIAPMS,b'19220910658094208',pms_ZARI.dat
258838375,197.797172,-47.017345,0.0,0.0,14.103,0.0,False,False,GAIAPMS,b'6086203271028306432',pms_ZARI.dat
258908394,197.96098,-42.615336,2.20796,-3.02909,11.1,0.0,False,False,GAIAPMS,b'6137338391437551872',pms_ZARI.dat
258908663,197.870951,-42.878282,-39.0233,-19.1152,11.472,0.0,False,False,GAIAPMS,b'6137297713805134848',pms_ZARI.dat
259095694,350.522811,36.21151,15.3449,-5.10905,15.045,0.0,False,False,GAIAPMS,b'1913363438804391680',pms_ZARI.dat
259111543,50.164131,50.263766,24.1892,-26.9644,12.492,0.259529382,True,False,GAIAPMS,b'442507736028401792',pms_ZARI.dat
259145593,50.259714,49.784331,19.6476,-26.6188,14.251,0.0,False,False,GAIAPMS,b'441729419235245696',pms_ZARI.dat
259236364,292.850032,67.399103,3.88942,12.3979,10.874,0.134564564,True,True,GAIAPMS,b'2260953836398942336',pms_ZARI.dat
259243781,50.360826,53.285908,0.421405,-0.569225,12.011,0.0,False,False,GAIAPMS,b'446447144453409664',pms_ZARI.dat
259255323,50.540647,48.567357,47.0243,-21.4313,13.554,0.16615501,False,False,GAIAPMS,b'435427946296584960',pms_ZARI.dat
259425350,318.024012,48.422253,0.0,0.0,11.613,0.0,False,False,GAIAPMS,b'2165686582703498624',pms_ZARI.dat
259444498,70.106132,-53.66921,-24.0937,-27.8565,11.793,0.0,False,False,GAIAPMS,b'4777845113266260864',pms_ZARI.dat
259461265,43.49057,46.157536,-1.27165,-1.88549,10.628,0.0,False,False,GAIAPMS,b'434013596383457408',pms_ZARI.dat
259726904,224.15887,-66.394986,-56.0884,-43.6021,11.938,1.14152038,False,False,GAIAPMS,b'5848684638927564288',pms_ZARI.dat
260101023,62.762683,56.438786,10.1527,-17.827,12.586,0.0,False,False,GAIAPMS,b'468968617224519296',pms_ZARI.dat
260124695,130.972997,-45.099709,0.0,0.0,15.237,0.0,False,False,GAIAPMS,b'5522197442851932544',pms_ZARI.dat
260138448,224.779262,-68.276771,-19.8506,-20.1616,15.905,0.0,False,False,GAIAPMS,b'5800200436736455680',pms_ZARI.dat
260259678,269.205031,-31.780204,-0.507708,-18.9147,11.362,3.193597,True,False,GAIAPMS,b'4043971090852887808',pms_ZARI.dat
260313941,144.069989,-44.321041,0.0,0.0,15.111,0.0,False,False,GAIAPMS,b'5424638978707380736',pms_ZARI.dat
260366320,57.239247,79.842531,9.82631,-9.67896,11.1,0.0,False,False,GAIAPMS,b'555964554188519040',pms_ZARI.dat
260607779,97.602904,-54.546451,-21.4008,20.185,13.868,0.0,False,False,GAIAPMS,b'5498126728127445632',pms_ZARI.dat
260648562,186.66966,-50.702274,-34.5853,-13.7912,12.485,0.0,False,False,GAIAPMS,b'6125733806425799552',pms_ZARI.dat
260658715,98.40932,-57.345738,0.289608,-25.8351,13.746,0.0174666923,False,False,GAIAPMS,b'5484634105546956928',pms_ZARI.dat
260691974,75.627369,44.112064,4.33332,-9.8924,14.29,0.0,False,False,GAIAPMS,b'205554493385587584',pms_ZARI.dat
260778617,189.056796,-53.025787,-40.676,-12.6182,12.941,0.121891364,False,False,GAIAPMS,b'6077824373954815744',pms_ZARI.dat
260779086,189.103313,-53.195667,0.0,0.0,14.783,0.0,False,False,GAIAPMS,b'6077771803552535424',pms_ZARI.dat
260941355,201.717709,-51.63652,0.0,0.0,13.553,0.125924721,False,False,GAIAPMS,b'6070020207912066816',pms_ZARI.dat
260996450,203.105826,-53.736939,-32.9269,-21.3262,14.959,0.0,False,False,GAIAPMS,b'6068653313108470528',pms_ZARI.dat
260997529,203.105501,-53.390188,-26.705,-18.7493,11.431,0.0,False,False,GAIAPMS,b'6068709628722486912',pms_ZARI.dat
260999506,203.165398,-52.69973,0.0,0.0,12.434,0.0,False,False,GAIAPMS,b'6068933959157503616',pms_ZARI.dat
261000605,203.141922,-52.298796,-29.9008,-17.1701,12.459,0.0,False,False,GAIAPMS,b'6069097515802423680',pms_ZARI.dat
261003559,203.050912,-51.179886,0.0,0.0,13.881,0.0,False,False,GAIAPMS,b'6069964480720336128',pms_ZARI.dat
261035469,269.253175,-35.202292,17.0202,-15.0506,12.595,0.0,False,False,GAIAPMS,b'4040566113912255104',pms_ZARI.dat
261137856,84.005513,-83.808037,0.0,0.0,14.793,0.0,False,False,GAIAPMS,b'4614759192083735680',pms_ZARI.dat
261272259,203.838601,-49.655709,-10.0342,1.81521,10.688,0.0,False,False,GAIAPMS,b'6070656378467269376',pms_ZARI.dat
261277416,209.869483,-48.453487,0.0,0.0,14.571,0.0,False,False,GAIAPMS,b'6094230736702608128',pms_ZARI.dat
261382375,209.81285,-49.215462,0.0,0.0,12.092,0.0,False,False,GAIAPMS,b'6094004374748271872',pms_ZARI.dat
261382415,209.791111,-49.234829,0.0,0.0,12.984,0.0,False,False,GAIAPMS,b'6094004237309316608',pms_ZARI.dat
261389056,209.821642,-51.616959,-29.6771,-22.2527,13.59,0.0,False,False,GAIAPMS,b'6090157046125935744',pms_ZARI.dat
261392022,209.831279,-52.534536,-21.2766,-20.2305,14.114,0.0,False,False,GAIAPMS,b'6089261150311019648',pms_ZARI.dat
261417900,95.209459,-79.088759,-11.9795,22.2351,12.131,0.0,False,False,GAIAPMS,b'5211835645672736256',pms_ZARI.dat
261431389,76.853249,44.968448,3.30152,-26.1419,13.114,0.0,False,False,GAIAPMS,b'205696570904757120',pms_ZARI.dat
261547791,259.449674,-52.818102,11.5249,-13.5218,15.87,0.0,False,False,GAIAPMS,b'5924856841659614976',pms_ZARI.dat
261573174,185.763089,-54.424034,-17.3207,-13.367,13.662,0.0,False,False,GAIAPMS,b'6076149199278982784',pms_ZARI.dat
261674916,185.809695,-55.671146,0.0,0.0,11.612,0.0,False,False,GAIAPMS,b'6072887188795984256',pms_ZARI.dat
261759545,193.684161,-54.027958,0.0,0.0,13.242,0.0,False,False,GAIAPMS,b'6074099125479325184',pms_ZARI.dat
261807024,227.624572,-69.573806,-13.3939,-14.9031,13.713,0.0,False,False,GAIAPMS,b'5799268085227899136',pms_ZARI.dat
261867823,227.652842,-71.460059,-12.9807,-10.0018,11.759,0.0,False,False,GAIAPMS,b'5795530909610181760',pms_ZARI.dat
261950212,106.220088,11.85192,-7.38799,0.926528,12.275,0.0,False,False,GAIAPMS,b'3160571501468497408',pms_ZARI.dat
261988619,193.644592,-58.46138,0.0,0.0,12.49,0.0,False,False,GAIAPMS,b'6060172298909732992',pms_ZARI.dat
261988875,193.644566,-58.502999,-30.4091,-9.64973,14.311,0.0,False,False,GAIAPMS,b'6060169172173509248',pms_ZARI.dat
261992821,193.790142,-59.071636,-33.7412,-0.587311,11.409,0.0,False,False,GAIAPMS,b'6057093112266125696',pms_ZARI.dat
261994855,193.685378,-59.353284,-38.228,-11.0069,12.327,0.0,False,False,GAIAPMS,b'6057073394114097152',pms_ZARI.dat
262071894,264.272373,-39.259495,0.0,0.0,11.651,0.0,False,False,GAIAPMS,b'5961047541763114752',pms_ZARI.dat
262072647,264.28896,-39.331019,-11.7914,-33.1987,13.403,0.575793266,False,False,GAIAPMS,b'5961046304816447488',pms_ZARI.dat
262088327,228.148299,-67.191512,-32.0504,-19.7207,12.936,0.0,False,False,GAIAPMS,b'5824338256022812416',pms_ZARI.dat
262118960,199.666491,-59.235757,-40.8377,-21.0584,13.665,0.0,False,False,GAIAPMS,b'6062009853387175808',pms_ZARI.dat
262326302,78.184573,0.154838,0.0,0.0,11.615,0.0,False,False,GAIAPMS,b'3227641534666649728',pms_ZARI.dat
262369134,269.766078,-33.718517,0.0,0.0,14.413,0.0,False,False,GAIAPMS,b'4042476068643866496',pms_ZARI.dat
262401853,78.479365,4.482725,8.87288,-14.7074,14.512,0.0,False,False,GAIAPMS,b'3235824413732888960',pms_ZARI.dat
262424921,111.318642,-48.285186,-11.6694,21.4615,15.173,0.0,False,False,GAIAPMS,b'5506991815506559360',pms_ZARI.dat
262465431,73.931106,2.087777,-0.320148,-1.27029,10.789,0.09002355,True,False,GAIAPMS,b'3232191245062507136',pms_ZARI.dat
262494910,111.378213,-52.153687,0.0,0.0,12.934,0.0,False,False,GAIAPMS,b'5493354160470498176',pms_ZARI.dat
262497063,109.839058,-59.239216,-12.1846,12.6086,15.218,0.0,False,False,GAIAPMS,b'5485549685198526976',pms_ZARI.dat
262526895,70.056852,3.93399,1.01064,-3.89423,13.54,0.0,False,False,GAIAPMS,b'3281318631477493888',pms_ZARI.dat
262705103,116.704039,-65.57518,0.0,0.0,12.949,0.0,False,False,GAIAPMS,b'5275326536599853952',pms_ZARI.dat
262732289,229.433813,-68.767683,-32.057,-28.299,12.533,0.0,False,False,GAIAPMS,b'5799414457717744896',pms_ZARI.dat
262823965,229.703841,-71.097693,-13.2191,-12.5712,15.151,0.0,False,False,GAIAPMS,b'5795924470361086976',pms_ZARI.dat
262848447,215.947844,-59.590594,-23.0,-27.3,9.859,0.0,False,False,GAIAPMS,b'5890795350129301248',pms_ZARI.dat
262875370,52.682595,-60.427577,16.5495,48.8023,10.986,0.0,False,False,GAIAPMS,b'4722810570566630784',pms_ZARI.dat
263009721,233.583412,-39.356644,0.0,0.0,13.91,65.2750854,False,False,GAIAPMS,b'6003218249404446848',pms_ZARI.dat
263009911,233.630814,-39.234751,-30.669,-40.6134,12.939,9.135142,False,False,GAIAPMS,b'6003271953676738304',pms_ZARI.dat
263206146,230.20866,-66.602661,0.0,0.0,15.492,0.0,False,False,GAIAPMS,b'5824459374104677760',pms_ZARI.dat
263264755,264.721233,-40.249794,0.0,0.0,12.262,0.0,False,False,GAIAPMS,b'5960733940434150656',pms_ZARI.dat
263283895,95.384146,6.536619,-8.0843,-8.75815,10.422,0.0,False,False,GAIAPMS,b'3324162442085583488',pms_ZARI.dat
263285252,264.767025,-39.436127,0.0,0.0,13.105,0.0,False,False,GAIAPMS,b'5960986213991287680',pms_ZARI.dat
263301571,95.435009,8.97778,3.15606,-17.0679,15.075,0.0,False,False,GAIAPMS,b'3325851841704803840',pms_ZARI.dat
263338547,95.517782,12.086196,0.0,0.0,14.03,0.0,False,False,GAIAPMS,b'3331729826568500480',pms_ZARI.dat
263595440,95.794369,11.4591,6.01351,-30.2106,14.89,0.0,False,False,GAIAPMS,b'3330893922850523136',pms_ZARI.dat
263598226,95.852869,10.739587,4.15318,-12.9738,13.567,0.0,False,False,GAIAPMS,b'3330641584934772096',pms_ZARI.dat
263659497,191.877152,20.638367,0.0,0.0,14.349,0.0,False,False,GAIAPMS,b'3954334096884807168',pms_ZARI.dat
263883493,217.059976,-56.259155,-12.6867,-13.5462,11.189,0.285515338,True,False,GAIAPMS,b'5892523193984090368',pms_ZARI.dat
263934658,96.125431,11.61536,-1.49584,-18.6117,14.5,0.0,False,False,GAIAPMS,b'3331274323813474816',pms_ZARI.dat
264022356,216.918725,-59.264759,-33.7776,-22.082,12.656,0.0,False,False,GAIAPMS,b'5890919560600610432',pms_ZARI.dat
264137167,216.976059,-59.743057,-24.9493,-21.766,10.802,2.07397127,True,False,GAIAPMS,b'5890753839256421504',pms_ZARI.dat
264174939,294.603394,70.062653,0.0,0.0,15.492,0.0,False,False,GAIAPMS,b'2263139184479419904',pms_ZARI.dat
264195735,319.338174,78.147767,14.5678,11.185,13.224,0.0,False,False,GAIAPMS,b'2284774343499122176',pms_ZARI.dat
264251635,295.530778,68.280793,2.14964,-12.3632,14.776,0.0,False,False,GAIAPMS,b'2249382919625984384',pms_ZARI.dat
264286138,265.037962,-39.232967,0.0,0.0,11.493,0.0,False,False,GAIAPMS,b'5961363930596056576',pms_ZARI.dat
264334287,322.962259,78.610139,13.2135,10.2938,13.363,0.0,False,False,GAIAPMS,b'2284716859656379904',pms_ZARI.dat
