     twomass      |  lspmname   | tic |   kic    |        catra         |        catdec        | spectype |     r_spectype      |  jmag  |  hmag  |  kmag  |  vmag  |   v    |  e_v  |       bibcode       |   prot   | g_prot |       r_prot        
 06052936+6049231 | J0605+6049  |     |          |             1.594751 |              1.06156 | M4.9     | 2009ApJ...699..649S |  9.096 |  8.464 |  8.176 |  13.69 |  13.69 |       | 1996AJ....112.2300W |     0.31 | A      | 2016ApJ...821...93N
 06073185+4712266 | J0607+4712  |     |          |             1.603656 |             0.823923 | M3.5     | 2007AJ....133.2825R |  9.723 |  9.161 |  8.887 | 14.311 | 14.311 | 0.081 | APASS8              |    0.862 | A      | 2016ApJ...821...93N
 06083043+4902063 | J0608+4902  |     |          |             1.607916 |             0.855824 | M5       | 2015ApJ...812....3W |  10.78 | 10.216 |  9.988 | 15.174 | 15.174 | 0.033 | APASS8              |          |        | 
 06094614+0009327 | J0609+0009  |     |          |             1.613421 |             0.002776 | M0.0     | 2013AJ....145..102L |  8.124 |  7.411 |  7.234 | 10.792 | 10.792 | 0.029 | APASS8              |          |        | 
 06101825+7212005 | J0610+7212  |     |          |             1.615757 |              1.26013 | M2.5V    | 2015A&A...577A.128A |  9.272 |  8.675 |  8.445 | 12.904 | 12.904 | 0.074 | APASS8              |          |        | 
 06140397+3811402 | J0614+3811  |     |          |             1.632172 |              0.66662 |          |                     |   9.83 |  9.265 |  8.992 |  13.68 |  13.68 |       | 1987AJ.....93..451W |          |        | 
 06170531+8353354 | J0617+8353  |     |          |             1.645357 |             1.464211 | M3.5     | 2013AJ....145..102L |  8.961 |  8.365 |   8.11 |  13.07 |  13.07 | 0.032 | APASS8              |    74.48 | A      | 2016ApJ...821...93N
 06183302+1130044 | J0618+1130  |     |          |             1.651738 |             0.200735 |          |                     |   9.88 |  9.323 |  9.025 | 13.698 | 13.698 | 0.006 | APASS8              |          |        | 
 06195048+6605308 | J0619+6605  |     |          |             1.657371 |             1.153521 |          |                     | 10.861 | 10.244 |  9.958 |  15.48 |  15.48 | 0.065 | APASS8              |    20.07 | A      | 2016ApJ...821...93N
 06195743+2022197 | J0619+2022  |     |          |             1.657876 |             0.355561 |          |                     |  10.74 |   10.2 |  9.885 | 15.309 | 15.309 | 0.006 | APASS8              |          |        | 
 06271281+4138143 | J0627+4138  |     |          |             1.689538 |             0.726708 |          |                     |  9.852 |  9.218 |  9.022 | 14.097 | 14.097 |  0.04 | APASS8              |          |        | 
 06274397+0923541 | J0627+0923  |     |          |             1.691804 |             0.164032 | M2.0     | 2013AJ....145..102L |  8.269 |  7.727 |  7.438 | 11.774 | 11.774 | 0.008 | APASS8              |          |        | 
 06295663+0934185 | J0629+0934  |     |          |             1.701452 |             0.167059 |          |                     | 10.369 |  9.833 |  9.547 | 14.596 | 14.596 | 0.041 | APASS8              |          |        | 
 06321506+3748128 | J0632+3748  |     |          |             1.711516 |             0.659795 | M1.5     | 2013AJ....145..102L |   8.22 |  7.579 |  7.391 | 11.502 | 11.502 | 0.031 | APASS8              |  18.2108 | 0      | 2011AJ....141..166H
 06323060+6406207 | J0632+6406  |     |          |             1.712651 |             1.118854 | M4.0V    | 2015A&A...577A.128A |  9.811 |  9.221 |  8.941 |  14.06 |  14.06 |       | 1996AJ....112.2300W |          |        | 
 06372430+7406207 | J0637+7406  |     |          |             1.734007 |              1.29339 |          |                     | 10.185 |  9.569 |  9.351 | 14.413 | 14.413 | 0.087 | APASS8              |          |        | 
 06375540+0858594 | J0637+0858  |     |          |             1.736268 |             0.156786 |          |                     | 11.163 | 10.554 | 10.262 | 15.906 | 15.906 | 0.113 | APASS8              |          |        | 
 06413317+2111045 | J0641+2111  |     |          |             1.752105 |              0.36974 |          |                     |  9.463 |  8.886 |  8.632 | 13.073 | 13.073 | 0.039 | APASS8              |          |        | 
 06414901+6846395 | J0641+6846  |     |          |             1.753257 |             1.200396 |          |                     |  9.516 |   8.93 |  8.694 | 13.423 | 13.423 | 0.091 | APASS8              |          |        | 
 06415204+2328055 | J0641+2328  |     |          |             1.753479 |             0.409597 |          |                     |  9.721 |  9.085 |  8.844 |  13.46 |  13.46 | 0.061 | APASS8              |          |        | 
 06423957+6402372 | J0642+6402  |     |          |             1.756934 |             1.117772 |          |                     |   9.82 |  9.166 |  8.933 | 13.797 | 13.797 | 0.072 | APASS8              |          |        | 
 06444751+1628181 | J0644+1628  |     |          |             1.766239 |             0.287484 | M3       | 2015ApJ...812....3W | 10.097 |  9.497 |  9.239 | 14.065 | 14.065 | 0.022 | APASS8              |    57.89 | A      | 2016ApJ...821...93N
