     twomass      |  lspmname   | tic |   kic    |        catra         |        catdec        | spectype |     r_spectype      |  jmag  |  hmag  |  kmag  |  vmag  |   v    |  e_v  |       bibcode       |   prot   | g_prot |       r_prot        
------------------+-------------+-----+----------+----------------------+----------------------+----------+---------------------+--------+--------+--------+--------+--------+-------+---------------------+----------+--------+---------------------
 00051079+4547116 | J0005+4547  |     |          |             0.022609 |             0.799126 | M1.0     | 2013AJ....145..102L |  6.704 |  6.098 |  5.853 |   9.95 |   9.95 |       | 1996AJ....112.2300W |     21.2 |        | 2018A&A...612A..89M
 00123349+2142488 | J0012+2142N |     |          |             0.054795 |             0.378971 | M0.0     | 2013AJ....145..102L |  8.837 |  8.277 |  8.042 |   11.7 |   11.7 |       | 1984ApJS...55..289W |          |        | 
 00123444+2142231 | J0012+2142S |     |          |             0.054866 |             0.378847 |          |                     |  9.662 |  9.098 |  8.863 |   13.2 |   13.2 |       | 1984ApJS...55..289W |          |        | 
 00131578+6919372 | J0013+6919  |     |          |             0.057873 |             1.209984 | M 3      | 1995AJ....110.1838R |  8.556 |  7.984 |  7.746 |  12.44 |  12.44 |       | 1996AJ....112.2300W |          |        | 
 00133880+8039569 | J0013+8039W |     |          |             0.059537 |             1.407884 | M1.5V    | 2015A&A...577A.128A |  7.756 |  7.131 |  6.904 |  11.11 |  11.11 |       | 1988AJ.....96.1710W |          |        | 
 00154919+1333218 | J0015+1333  |     |          |             0.069031 |               0.2366 | M3.0V    | 2010AJ....140..897R |  8.619 |  8.068 |  7.807 |  12.62 |  12.62 |       | 2010AJ....140..897R |          |        | 
 00161455+1951385 | J0016+1951W |     |          |             0.070876 |              0.34663 | M3.6     | 2009ApJ...699..649S |  7.875 |  7.322 |  7.087 |  12.26 |  12.26 |       | 1996AJ....112.2300W |   4.7901 |        | 2007A&A...467..785N
 00161607+1951515 | J0016+1951E |     |          |             0.070987 |             0.346693 | M4.0V    | 2015A&A...577A.128A |  8.893 |  8.339 |  8.097 |  13.21 |  13.21 |       | 1996AJ....112.2300W |          |        | 
 00170635+4056538 | J0017+4056  |     |          |              0.07464 |             0.714683 | K 7      | 1995AJ....110.1838R |  6.385 |  5.748 |  5.577 |   9.02 |   9.02 |       | 1996AJ....112.2300W |          |        | 
 00172021+2910578 | J0017+2910  |     |          |             0.075655 |              0.50934 | M2.0     | 2013AJ....145..102L |  8.152 |  7.499 |  7.241 |  11.52 |  11.52 |       | 1996AJ....112.2300W |          |        | 
 00182256+4401222 | J0018+4401W |     |          |             0.080203 |             0.768345 | M1.5     | 1994AJ....108.1437H |  5.252 |  4.476 |  4.018 |   8.09 |   8.09 |       | 1979ApJS...39...89E |       45 |        | 2018A&A...612A..89M
 00182549+4401376 | J0018+4401E |     |          |             0.080421 |             0.768422 | M3.5     | 1994AJ....108.1437H |  6.789 |  6.191 |  5.948 |  11.06 |  11.06 |       | 1996AJ....112.2300W |          |        | 
 00202922+3305081 | J0020+3305  |     |          |             0.089405 |             0.577444 | M 5.5    | 1995AJ....110.1838R | 10.284 |  9.691 |   9.33 |  16.09 |  16.09 |       | 1988AJ.....96.1710W |          |        | 
 00232865+7711217 | J0023+7711W |     |          |             0.102453 |             1.347207 | M2.0     | 2013AJ....145..102L |  8.042 |   7.39 |  7.187 |  11.31 |  11.31 |       | 1996AJ....112.2300W |          |        | 
 00233165+7711267 | J0023+7711E |     |          |             0.102672 |             1.347233 | M 4      | 1995AJ....110.1838R |  9.934 |  9.358 |   9.11 |   14.1 |   14.1 |       | 1996AJ....112.2300W |          |        | 
 00243478+3002295 | J0024+3002  |     |          |             0.107256 |             0.524324 | M 4.5    | 1995AJ....110.1838R |  9.776 |  9.218 |  8.892 |  14.56 |  14.56 |       | 1987AJ.....93..451W |    1.077 | A      | 2016ApJ...821...93N
 00265268+7008326 | J0026+7008  |     |          |              0.11728 |             1.224216 | M1.0     | 2013AJ....145..102L |  7.411 |  6.742 |  6.568 |  10.53 |  10.53 |       | 1988AJ.....96.1710W |     17.4 |        | 2018A&A...612A..89M
 00270673+4941531 | J0027+4941  |     |          |             0.118303 |             0.867394 | M 4.5    | 1995AJ....110.1838R |  9.733 |   9.16 |  8.852 |  14.25 |  14.25 |       | 1984ApJS...55..289W |          |        | 
 00305564+7322150 | J0030+7322  |     |          |             0.134941 |             1.280562 |          |                     |  8.048 |  7.394 |  7.223 | 10.612 | 10.612 | 0.012 | APASS8              |          |        | 
 00322970+6714080 | J0032+6714N |     |          |             0.141766 |             1.173483 | M2       | 1991ApJS...77..417K |  6.844 |  6.268 |  6.037 | 10.325 | 10.325 |  0.01 | APASS8              |          |        | 
 00343773+7111418 | J0034+7111E |     |          |             0.151091 |             1.242588 | M 3.5    | 1995AJ....110.1838R |  9.465 |  8.878 |  8.669 |  13.53 |  13.53 |       | 1996AJ....112.2300W |          |        | 
 00355322+5241123 | J0035+5241S |     |          |             0.156594 |             0.919557 | M2.5V    | 2015A&A...577A.128A |  8.932 |  8.352 |  8.095 |  12.54 |  12.54 |       | 1996AJ....112.2300W |    52.82 | A      | 2016ApJ...821...93N
 00355358+5241368 | J0035+5241N |     |          |              0.15662 |             0.919675 | M4.0     | 1997PASP..109..849G | 10.625 | 10.077 |   9.79 |   15.1 |   15.1 |       | 1996AJ....112.2300W |          |        | 
 00355557+1028352 | J0035+1028E |     |          |             0.156754 |              0.18285 | M 5      | 1995AJ....110.1838R | 10.222 |  9.656 |  9.367 |  15.32 |  15.32 |       | 1982PASP...94..821W |          |        | 
 00360847+4530575 | J0036+4530  |     |          |             0.157694 |             0.794403 | M2.0     | 2013AJ....145..102L |  8.167 |  7.576 |  7.359 | 11.738 | 11.738 | 0.057 | APASS8              |          |        | 
 00361617+1821104 | J0036+1821  |     |          |             0.158252 |             0.320318 | L3.5 V   | 2000AJ....120..447K | 12.466 | 11.588 | 11.058 |  21.34 |  21.34 |  0.06 | 2017AJ....154..147D |          |        | 
 00381529+5219558 | J0038+5219  |     |          |             0.166918 |             0.913367 | M0.0     | 2013AJ....145..102L |  7.714 |  7.057 |  6.916 |  10.48 |  10.48 |       | 1988AJ.....96.1710W |          |        | 
 00383388+5127579 | J0038+5127  |     |          |             0.168268 |             0.898253 | M3.0     | 2013AJ....145..102L |  8.892 |  8.336 |  8.062 |   12.6 |   12.6 |       | 1988AJ.....96.1710W |          |        | 
 00385879+3036583 | J0038+3036  |     |          |             0.170098 |             0.534354 | M2.5V    | 2015A&A...577A.128A |  7.453 |  6.864 |  6.606 |  11.08 |  11.08 |       | 1988AJ.....96.1710W |          |        | 
 00391896+5508132 | J0039+5508  |     |          |             0.171546 |             0.962321 | M3.5     | 1997PASP..109..849G | 10.021 |  9.519 |  9.236 |  14.17 |  14.17 |       | 1984ApJS...55..289W |          |        | 
 00393349+1454188 | J0039+1454S |     |          |             0.172609 |             0.260146 | M4.0V    | 2015A&A...577A.128A |  9.964 |  9.397 |  9.119 |  14.12 |  14.12 |       | 1984ApJS...55..289W |    34.01 | A      | 2016ApJ...821...93N
 00393374+1454348 | J0039+1454N |     |          |             0.172627 |             0.260223 | M4.5V    | 2015A&A...577A.128A |  9.826 |   9.22 |  8.946 |  14.36 |  14.36 |       | 1984ApJS...55..289W |    1.592 | A      | 2016ApJ...821...93N
 00394218+1039137 | J0039+1039  |     |          |             0.173236 |             0.185944 | M0       | 2014MNRAS.443.2561G |   7.88 |  7.279 |  7.134 |  10.54 |  10.54 |       | 1996AJ....112.2300W |   2.1621 |        | 2012AcA....62...67K
 00424820+3532554 | J0042+3532  |     |          |             0.186768 |             0.620443 | M1.5     | 2013AJ....145..102L |  7.164 |  6.506 |  6.321 | 10.427 | 10.427 | 0.051 | APASS8              |     2.17 |        | 1969lls..symp...57K
 00425668+2239350 | J0042+2239  |     |          |             0.187386 |             0.395487 | M0.0     | 2013AJ....145..102L |  8.616 |  8.013 |  7.818 | 11.513 | 11.513 |  0.05 | APASS8              |          |        | 
 00433558+2826414 | J0043+2826  |     |          |             0.190211 |             0.496456 | M 4      | 1995AJ....110.1838R | 10.392 |   9.88 |   9.67 |  14.51 |  14.51 |       | 1984ApJS...55..289W |          |        | 
 00503319+2449009 | J0050+2449N |     |          |             0.220583 |             0.433137 | M4.0     | 2013AJ....145..102L |  7.951 |   7.35 |  7.119 | 12.151 | 12.151 |       | 2010MNRAS.403.1949K |   1.6968 |        | 2007A&A...467..785N
 00512963+5818071 | J0051+5818  |     |          |             0.224697 |             1.017562 | M0.0     | 2013AJ....145..102L |  7.831 |  7.235 |  7.047 |  10.67 |  10.67 |       | 1996AJ....112.2300W |          |        | 
 00520003+2034585 | J0052+2034  |     |          |             0.226897 |             0.359239 | M1.0     | 2013AJ....145..102L |   8.49 |  7.823 |  7.628 |  11.53 |  11.53 |       | 1987AJ.....93..451W |          |        | 
 00535321+4556404 | J0053+4556  |     |          |             0.235128 |             0.801884 | M0.0     | 2013AJ....145..102L |  8.311 |  7.702 |  7.445 |  11.11 |  11.11 |       | 1988AJ.....96.1710W |          |        | 
 00563841+1727347 | J0056+1727  |     |          |             0.247137 |              0.30473 | M 4      | 1995AJ....110.1838R |  9.285 |  8.655 |  8.374 |  13.71 |  13.71 |       | 1984ApJS...55..289W |          |        | 
 01012006+6121560 | J0101+6121  |     |          |             0.267619 |             1.071035 | M2.0     | 2013AJ....145..102L |  7.272 |   6.71 |  6.483 |  10.85 |  10.85 |       | 1996AJ....112.2300W |     34.7 |        | 2018A&A...612A..89M
 01023213+7140475 | J0102+7140  |     |          |             0.272868 |             1.251049 | M3.0     | 2013AJ....145..102L |  6.301 |  5.699 |  5.449 |   9.98 |   9.98 |       | 1996AJ....112.2300W |          |        | 
 01023895+6220422 | J0102+6220  |     |          |             0.273351 |             1.088126 | M1.5V    | 2015A&A...577A.128A |   6.23 |  5.582 |  5.371 |   9.56 |   9.56 |       | 1996AJ....112.2300W |     18.4 |        | 2018A&A...612A..89M
 01031408+2005523 | J0103+2005W |     |          |             0.275919 |             0.350773 | M2.0     | 2013AJ....145..102L |   7.67 |  7.088 |  6.832 | 11.358 | 11.358 |       | 2010MNRAS.403.1949K |          |        | 
 01031971+6221557 | J0103+6221  |     |          |             0.276331 |             1.088483 | M5       | 1991ApJS...77..417K |  8.611 |  8.014 |  7.718 |  13.78 |  13.78 |       | 1988AJ.....96.1710W |    1.024 | A      | 2016ApJ...821...93N
 01034013+4051288 | J0103+4051W |     |          |             0.277807 |             0.713109 | M0.0     | 2013AJ....145..102L |  8.134 |  7.466 |  7.325 |   10.9 |   10.9 |       | 1984ApJS...55..289W | 0.253982 | 0      | 2011AJ....141..166H
 01034210+4051158 | J0103+4051E |     |          |             0.277951 |             0.713044 | M4.6     | 2018MNRAS.475.1960F |  9.372 |  8.839 |  8.513 | 13.097 | 13.097 | 0.055 | APASS8              |          |        | 
 01043239+2607125 | J0104+2607  |     |          |             0.281612 |             0.455883 |          |                     |  7.687 |  7.085 |   6.96 |  10.05 |  10.05 | 0.043 | APASS8              |          |        | 
 01053732+2829339 | J0105+2829  |     |          |             0.286353 |             0.497291 | M 5      | 1995AJ....110.1838R |  9.486 |  8.881 |   8.55 |  14.79 |  14.79 |       | 1982PASP...94..821W |          |        | 
 01064151+1516229 | J0106+1516  |     |          |             0.290998 |             0.266562 | M2.0     | 2013AJ....145..102L |  8.005 |  7.372 |  7.159 | 11.403 | 11.403 |       | 2010MNRAS.403.1949K |       32 |        | 2018A&A...612A..89M
 01070794+6356284 | J0107+6356  |     |          |             0.292936 |             1.115987 | K 5      | 1995AJ....110.1838R |  6.468 |  5.824 |  5.688 |   8.97 |   8.97 |       | 1996AJ....112.2300W |          |        | 
 01084037+1714348 | J0108+1714  |     |          |             0.299641 |             0.300941 | K 5      | 1995AJ....110.1838R |   8.08 |   7.44 |  7.275 |  10.58 |  10.58 |       | 1996AJ....112.2300W |          |        | 
 01115562+0455048 | J0111+0455  |     |          |              0.31384 |             0.085838 | M3.5     | 2013AJ....145..102L |  8.804 |  8.239 |  7.951 |  12.88 |  12.88 |       | 1984ApJS...55..289W |          |        | 
 01115799+0454120 | J0111+0454  |     |          |             0.314012 |             0.085581 | M 3.5    | 1995AJ....110.1838R |  9.641 |  9.077 |  8.814 |   13.9 |   13.9 |       | 1984ApJS...55..289W |          |        | 
 01144035+4428465 | J0114+4428  |     |          |             0.325828 |             0.776315 | M6.5     | 2005PASP..117..676R | 12.148 | 11.643 | 11.306 |  17.74 |  17.74 |  0.02 | 2017AJ....154..147D |          |        | 
 01163929+2519535 | J0116+2519  |     |          |             0.334475 |             0.442118 | K 7      | 1995AJ....110.1838R |  7.464 |  6.839 |  6.656 | 10.068 | 10.068 |       | 2010MNRAS.403.1949K |          |        | 
 01175067+2840143 | J0117+2840  |     |          |             0.339657 |             0.500394 | M1.0     | 2013AJ....145..102L |  8.323 |  7.765 |  7.503 |  11.56 |  11.56 |       | 1987AJ.....93..451W |          |        | 
 01175325+0528256 | J0117+0528  |     |          |             0.339849 |             0.095539 | M1.0     | 2013AJ....145..102L |  7.839 |   7.24 |   7.02 | 10.791 | 10.791 |       | 2010MNRAS.403.1949K |          |        | 
 01195227+8409327 | J0119+8409  |     |          |             0.348495 |             1.468854 | M 5      | 1995AJ....110.1838R |  9.855 |  9.314 |  9.025 |  14.77 |  14.77 |       | 1982PASP...94..821W |          |        | 
 01204075+5719404 | J0120+5719  |     |          |              0.35203 |             1.000561 |          |                     |  7.814 |  7.169 |  7.021 |  10.39 |  10.39 |       | 1996AJ....112.2300W |          |        | 
 01212932+2419500 | J0121+2419  |     |          |             0.355565 |             0.424648 | M0.0     | 2013AJ....145..102L |  7.894 |   7.28 |  7.109 | 10.689 | 10.689 | 0.038 | APASS8              |          |        | 
 01213098+8009063 | J0121+8009  |     |          |             0.355678 |             1.398913 | K 5      | 1995AJ....110.1838R |  7.325 |  6.657 |  6.558 |  9.589 |  9.589 | 0.159 | APASS8              |          |        | 
 01224500+0032042 | J0122+0032S |     |          |             0.361066 |             0.009331 | M 4.5    | 1995AJ....110.1838R |  9.201 |  8.452 |  8.299 |  13.67 |  13.67 | 0.032 | APASS8              |          |        | 
 01253666+0945244 | J0125+0945  |     |          |             0.373548 |             0.170289 | M3.5     | 2013AJ....145..102L |  8.952 |  8.413 |  8.089 |  13.14 |  13.14 |       | 1986AJ.....91..626W |          |        | 
 01382162+5713571 | J0138+5713  |     |          |             0.429178 |             0.998896 | M2.5     | 2013AJ....145..102L |  8.233 |  7.675 |  7.436 |  11.99 |  11.99 |       | 1988AJ.....96.1710W |          |        | 
 01382998+0039059 | J0138+0039  |     |          |             0.429784 |             0.011373 | M2.0     | 2013AJ....145..102L |  8.189 |   7.61 |  7.324 | 11.562 | 11.562 |       | 2010MNRAS.403.1949K |          |        | 
 01394569+7342324 | J0139+7342  |     |          |             0.435295 |             1.286464 |          |                     |    7.5 |  6.889 |  6.779 |  9.699 |  9.699 |     0 | APASS8              |          |        | 
 01431592+2750315 | J0143+2750  |     |          |             0.450585 |             0.485936 | M0.5     | 2013AJ....145..102L |  7.483 |  6.811 |  6.598 |   10.4 |   10.4 |       | 1996AJ....112.2300W |          |        | 
 01432015+0419172 | J0143+0419  |     |          |             0.450889 |             0.075429 | M2.5     | 2013AJ....145..102L |   7.37 |  6.809 |  6.516 | 10.915 | 10.915 |       | 2010MNRAS.403.1949K |          |        | 
 01445851+1620396 | J0144+1620  |     |          |             0.458036 |              0.28526 | M 4      | 1995AJ....110.1838R |  9.584 |  9.012 |  8.709 |  14.11 |  14.11 |       | 1987AJ.....93..451W |          |        | 
 01451820+4632077 | J0145+4632  |     |          |             0.459473 |             0.812198 | M1.7     | 2010ApJ...716.1522S |  8.058 |  7.423 |  7.197 | 11.536 | 11.536 | 0.036 | APASS8              |     4.05 |        | 2010ApJ...716.1522S
 01480397+2112243 | J0148+2112  |     |          |             0.471528 |             0.370128 | M2.5     | 2013AJ....145..102L |  8.514 |  7.895 |  7.644 | 12.156 | 12.156 |       | 2010MNRAS.403.1949K |          |        | 
 01483939+3305537 | J0148+3305  |     |          |             0.474107 |             0.577673 |          |                     | 10.699 | 10.139 |  9.882 |  14.45 |  14.45 |  0.02 | 1980AJ.....85..454H |          |        | 
 01484059+3306071 | J0148+3306  |     |          |             0.474195 |             0.577738 | G/K      | 2013AJ....145..102L |  8.987 |  8.408 |  8.208 | 12.533 | 12.533 | 0.068 | APASS8              |          |        | 
 01582980+5829106 | J0158+5829  |     |          |              0.51704 |             1.020778 |          |                     |  9.705 |   9.06 |   8.86 |  12.28 |  12.28 | 0.037 | APASS8              |          |        | 
 01591239+0331092 | J0159+0331W |     |          |             0.520135 |             0.061423 | M0.6     | 2009ApJ...699..649S |  7.906 |  7.221 |   7.07 | 10.948 | 10.948 | 0.035 | APASS8              |          |        | 
 01591260+0331113 | J0159+0331E |     |          |             0.520151 |             0.061432 | M2.5     | 2010ApJ...716.1522S |  7.998 |  7.384 |  7.119 | 10.948 | 10.948 | 0.035 | APASS8              |          |        | 
 01592349+5831162 | J0159+5831  |     |          |             0.520946 |             1.021386 | M4.2     | 2009ApJ...699..649S |   7.79 |  7.224 |  6.961 |  12.21 |  12.21 |       | 1988AJ.....96.1710W |          |        | 
 02001278+1303112 | J0200+1303  |     |          |             0.524542 |               0.2278 | M4.5     | 1991ApJS...77..417K |  7.514 |   6.97 |  6.648 |  12.27 |  12.27 |       | 1996AJ....112.2300W |          |        | 
 02013533+6346118 | J0201+6346  |     |          |             0.530532 |             1.112997 | M2.5     | 2013AJ....145..102L |  7.265 |  6.614 |  6.389 | 11.023 | 11.023 |  0.08 | APASS8              |          |        | 
 02025226+0542205 | J0202+0542  |     |          |             0.536118 |             0.099583 | M0.5VI   | 2008AJ....136..840J |  9.474 |    8.9 |  8.684 |  12.24 |  12.24 |     0 | 1982AJ.....87..419D |          |        | 
 02065718+4511045 | J0206+4511  |     |          |              0.55394 |             0.788617 | M0.0     | 2013AJ....145..102L |  7.397 |  6.802 |  6.598 |  10.29 |  10.29 |       | 1996AJ....112.2300W |          |        | 
 02081568+8013156 | J0208+8013  |     |          |             0.559651 |             1.400121 | M0.0     | 2013AJ....145..102L |  8.453 |  7.731 |  7.574 |  11.15 |  11.15 |       | 1996AJ....112.2300W |          |        | 
 02100486+3525504 | J0210+3525  |     |          |             0.567582 |             0.618377 | M 3      | 1995AJ....110.1838R | 10.079 |  9.575 |  9.345 |  13.76 |  13.76 |       | 1996AJ....112.2300W |          |        | 
 02104908+3359410 | J0210+3359  |     |          |             0.570798 |             0.593318 |          |                     | 10.579 |  9.994 |  9.725 |  15.11 |  15.11 |  0.01 | 1980AJ.....85..454H |          |        | 
 02122090+0334310 | J0212+0334  |     |          |             0.577485 |             0.062407 | M1.5     | 2013AJ....145..102L |   6.83 |  6.321 |  6.077 | 10.042 | 10.042 |       | 2010MNRAS.403.1949K |          |        | 
 02145978+1725089 | J0214+1725  |     |          |             0.589035 |             0.304019 | M 4      | 1995AJ....110.1838R |  9.966 |  9.377 |    9.1 |  14.44 |  14.44 |       | 1984ApJS...55..289W |          |        | 
 02152197+0729389 | J0215+0729  |     |          |             0.590646 |             0.130799 | M1.5     | 2013AJ....145..102L |  8.632 |  8.103 |  7.815 |  11.92 |  11.92 |       | 1996AJ....112.2300W |          |        | 
 02162977+1335136 | J0216+1335  |     |          |             0.595583 |             0.237135 | M6.0 V   | 2004AJ....128.2460H |  9.871 |  9.314 |  8.981 | 15.804 | 15.804 |     0 | APASS8              |          |        | 
 02170993+3526330 | J0217+3526  |     |          |             0.598504 |             0.618586 | M 5      | 1995AJ....110.1838R |  9.983 |  9.351 |  9.011 |   15.9 |   15.9 |       | 1996AJ....112.2300W |    0.276 | A      | 2016ApJ...821...93N
 02181266+4416120 | J0218+4416  |     |          |              0.60306 |             0.772658 | M 2.5    | 1995AJ....110.1838R |  9.813 |  9.164 |  8.928 |  13.49 |  13.49 |       | 1996AJ....112.2300W |          |        | 
 02190305+3521181 | J0219+3521  |     |          |             0.606721 |             0.617064 | M3.5     | 2013AJ....145..102L |  8.662 |  8.137 |  7.897 |  12.55 |  12.55 |       | 1996AJ....112.2300W |          |        | 
 02210181+3652481 | J0221+3652  |     |          |             0.615366 |             0.643675 | M 3.5    | 1995AJ....110.1838R | 10.206 |  9.664 |  9.406 |  14.29 |  14.29 |       | 1996AJ....112.2300W |          |        | 
 02210396+3653053 | J0221+3653  |     |          |             0.615523 |             0.643758 | M 3      | 1995AJ....110.1838R |  9.368 |   8.78 |  8.562 |  13.31 |  13.31 |       | 1996AJ....112.2300W |          |        | 
 02211233+5333392 | J0221+5333  |     |          |             0.616127 |             0.934813 |          |                     |  7.933 |  7.321 |  7.177 | 10.334 | 10.334 | 0.088 | APASS8              |          |        | 
 02221463+4752481 | J0222+4752  |     |          |             0.620656 |             0.835664 | M0.5     | 2013AJ....145..102L |  6.377 |   5.77 |  5.554 |  9.342 |  9.342 |     0 | APASS8              |          |        | 
 02312765+5722432 | J0231+5722  |     |          |             0.660873 |             1.001447 | M 3.5    | 1995AJ....110.1838R |  9.218 |  8.637 |  8.418 |  13.22 |  13.22 |       | 1982PASP...94..821W |          |        | 
 02333717+2455392 | J0233+2455  |     |          |             0.670292 |             0.435061 | M4.5     | 2013AJ....145..102L |  8.472 |  7.913 |  7.627 |  12.98 |  12.98 |       | 1996AJ....112.2300W |          |        | 
 02355328+2013119 | J0235+2013  |     |          |             0.680191 |             0.352903 | M2.0     | 2013AJ....145..102L |  7.208 |  6.572 |  6.328 | 10.628 | 10.628 |       | 2010MNRAS.403.1949K |          |        | 
 02361535+0652191 | J0236+0652  |     |          |             0.681788 |             0.119933 | M3.5     | 1994AJ....108.1437H |  7.333 |  6.793 |  6.574 |  11.66 |  11.66 |       | 1996AJ....112.2300W |          |        | 
 02364781+3204204 | J0236+3204W |     |          |             0.684152 |             0.559767 | M3.5     | 2013AJ....145..102L |  8.965 |  8.301 |  8.182 | 12.968 | 12.968 | 0.054 | APASS8              |          |        | 
 02372971+0021273 | J0237+0021  |     |          |             0.687201 |             0.006242 | M 4      | 1995AJ....110.1838R | 10.547 |  9.967 |  9.689 |  15.16 |  15.16 |  0.08 | 1980AJ.....85..454H |          |        | 
 02423253+0322259 | J0242+0322  |     |          |             0.709225 |             0.058886 | K 5      | 1995AJ....110.1838R |  7.633 |  7.019 |  6.833 |  10.14 |  10.14 |       | 1989SAAOC..13...29L |          |        | 
 02441537+2531249 | J0244+2531  |     |          |             0.716713 |             0.445467 | M3       | 1994AJ....108.1437H |  6.752 |  6.197 |  5.961 | 10.563 | 10.563 |       | 2010MNRAS.403.1949K |          |        | 
 02453963+4456557 | J0245+4456E |     |          |             0.722833 |             0.784504 | M0.5V    | 2015A&A...577A.128A |  7.818 |  7.165 |  6.982 |  10.85 |  10.85 |       | 1984ApJS...55..289W |          |        | 
 02461726+1146309 | J0246+1146  |     |          |             0.725568 |             0.205517 |          |                     |  6.285 |  5.691 |  5.529 |  8.574 |  8.574 |       | 2010MNRAS.403.1949K |          |        | 
 02475585+2842441 | J0247+2842  |     |          |             0.732739 |             0.501124 | K7.5     | 2013AJ....145..102L |  8.341 |  7.741 |  7.482 | 11.099 | 11.099 |  0.08 | APASS8              |          |        | 
 02520697+3423236 | J0252+3423  |     |          |             0.751012 |             0.600206 | K 5      | 1995AJ....110.1838R |  7.053 |  6.462 |  6.298 |   9.63 |   9.63 |       | 1996AJ....112.2300W |          |        | 
 02522502+2658304 | J0252+2658  |     |          |             0.752311 |             0.470803 | M1.0     | 2013AJ....145..102L |  7.937 |  7.299 |   7.08 | 11.048 | 11.048 | 0.068 | APASS8              |          |        | 
 02553573+2652208 | J0255+2652W |     |          |             0.766183 |             0.469011 | M4.0V    | 2015A&A...577A.128A |  9.561 |  8.935 |  8.661 | 13.757 | 13.757 | 0.097 | APASS8              |          |        | 
 02563434+5526145 | J0256+5526S |     |          |             0.770448 |             0.967563 | M1.0     | 2013AJ....145..102L |  7.425 |  6.797 |   6.59 |  10.48 |  10.48 |       | 1996AJ....112.2300W |     51.2 |        | 2018A&A...612A..89M
 02563506+5526302 | J0256+5526N |     |          |             0.770502 |             0.967638 | M2.5     | 2013AJ....145..102L |  8.006 |  7.414 |  7.203 |  11.65 |  11.65 |       | 1996AJ....112.2300W |          |        | 
 02573103+1047245 | J0257+1047  |     |          |             0.774566 |             0.188324 | M 3      | 1995AJ....110.1838R |  9.162 |  8.663 |  8.428 |  13.04 |  13.04 |       | 1996AJ....112.2300W |          |        | 
 03062676+0157538 | J0306+0157  |     |          |             0.813523 |             0.034299 | K 5      | 1995AJ....110.1838R |  6.492 |  5.843 |  5.646 |  9.055 |  9.055 |       | 2010MNRAS.403.1949K |          |        | 
 03065138+4021337 | J0306+4021  |     |          |             0.815313 |             0.704404 |          |                     |  7.271 |  6.661 |   6.56 |  9.641 |  9.641 |     0 | APASS8              |          |        | 
 03082370+4302085 | J0308+4302  |     |          |             0.822029 |             0.751115 | M 3      | 1995AJ....110.1838R | 10.752 | 10.199 |   9.95 | 14.832 | 14.832 |  0.01 | APASS8              |          |        | 
 03090015+1001257 | J0309+1001  |     |          |              0.82468 |             0.174949 | M 5      | 1995AJ....110.1838R |  9.926 |  9.333 |  9.066 |  14.85 |  14.85 |       | 1982PASP...94..821W |          |        | 
 03090444+7602281 | J0309+7602  |     |          |             0.824994 |             1.327169 | K 7      | 1995AJ....110.1838R |  7.129 |  6.477 |  6.311 |   9.83 |   9.83 |       | 1996AJ....112.2300W |          |        | 
 03093085+4543586 | J0309+4543  |     |          |             0.826909 |             0.798189 | M2.0     | 2013AJ....145..102L |   6.73 |  6.081 |   5.84 |  10.15 |  10.15 |       | 1996AJ....112.2300W |          |        | 
 03101547+0554311 | J0310+0554  |     |          |             0.830157 |             0.103127 | M2.5     | 2013AJ....145..102L |  8.363 |   7.75 |  7.532 | 11.847 | 11.847 |       | 2010MNRAS.403.1949K |          |        | 
 03105861+7346189 | J0310+7346  |     |          |              0.83327 |             1.287567 | M 5      | 1995AJ....110.1838R |   9.85 |  9.409 |  9.083 |  14.61 |  14.61 |       | 1982PASP...94..821W |          |        | 
 03132299+0446293 | J0313+0446  |     |          |             0.843788 |             0.083336 | M4.5     | 2013AJ....145..102L |  8.775 |  8.208 |  7.833 |  13.86 |  13.86 |       | 1996AJ....112.2300W |    126.2 | B      | 2016ApJ...821...93N
 03141241+2840411 | J0314+2840  |     |          |             0.847391 |             0.500519 | M 6      | 1995AJ....110.1838R | 10.993 | 10.426 | 10.092 |  16.86 |  16.86 |  0.02 | 2017AJ....154..147D |          |        | 
 03143399+5220543 | J0314+5220  |     |          |             0.848955 |              0.91365 | K 7      | 1995AJ....110.1838R |  7.795 |  7.183 |  7.059 |  10.22 |  10.22 |       | 1996AJ....112.2300W |          |        | 
 03144488+4831113 | J0314+4831  |     |          |             0.849751 |             0.846829 | M1.5     | 2013AJ....145..102L |  8.174 |   7.64 |  7.413 | 11.458 | 11.458 | 0.049 | APASS8              |          |        | 
 03161381+5810024 | J0316+5810S |     |          |             0.856217 |             1.015211 | M2.0V    | 2015A&A...577A.128A |  7.344 |  6.759 |  6.566 | 10.292 | 10.292 | 0.052 | APASS8              |          |        | 
 03161389+5810072 | J0316+5810N |     |          |             0.856226 |             1.015237 | M2.0V    | 2015A&A...577A.128A |  7.501 |  6.842 |  6.635 | 10.292 | 10.292 | 0.052 | APASS8              |          |        | 
 03162673+3805570 | J0316+3805  |     |          |             0.857161 |              0.66495 | sdK      | 1997AJ....113..806G |  8.352 |  7.768 |  7.597 |  10.69 |  10.69 |       | 1979ApJS...39...89E |          |        | 
 03174512+2515070 | J0317+2515  |     |          |             0.862865 |             0.440726 | M2.0     | 2013AJ....145..102L |  8.492 |  7.917 |   7.67 | 11.779 | 11.779 |       | 2010MNRAS.403.1949K |          |        | 
