Name, Date,EW Mg 1.48 microns (Angstroms),EW Mg 1.50,EW Mg 1.57,EW Al 1.67,EW Al-a 1.67,EW Al-b 1.67,EW Mg 1.71,EW Na 2.21,EW Ca 2.26, Radial Velocity (km/s), RA (degrees), DEC (degrees)
J14341683-1231106,20110322,0.7466770961437578,2.1474053378284745,1.0483006081318893,2.3562326994488414,0.987233305706233,1.392388703834375,1.7646006595522457,6.2391350863240405,3.920368339057751,-3.520988055626182 ,218.7200075,-12.564591
J06521804-0511241,20110322,1.1254936673782066,3.703469531153034,2.1221932134714705,2.2609823419179875,1.1094312929168997,1.2533160724948138,2.199196423755607,4.802830351299037,3.6338235447820555,3.7877634883254183 ,103.2109263,-5.202007
J09424635-6853060,20110322,0.2346714380400342,1.7039075272621722,0.5701711424058951,0.7636275553933953,0.3325424455207239,0.48715988869796134,-0.15117406214401882,6.081572178515051,2.606207280122261,52.52226136248801 ,145.7361798,-68.933828
J08124088-2133056,20110322,0.07027498185516778,2.975303300773084,1.138470822580708,1.473184922865733,0.6702161852599102,0.8587786105871731,1.048962138884416,6.987530083536143,0.28229167711392367,30.697550321816166 ,123.2914264,-21.5872846
J06171064+0507024,20110322,1.033712260166349,2.783347043950127,1.7889713341496227,2.584059531704342,1.1311730563965325,1.4655209456141685,1.5314044991439848,4.190661915593017,2.9121449697255035,14.194434144772936 ,94.4428264,5.1158537
J12404633-4333595,20110322,0.5494957583042401,3.082698654063208,0.8284636111115303,1.0858260596790177,0.5615479769274632,0.5687088235973992,-0.006052515927471469,4.119053102814892,2.187523419907392,-22.29534757866608 ,190.3421797,-43.6270176
J10442131-6112384,20110322,0.13516748162251943,1.6769940607957003,-0.0913159206267903,-0.26599148568964726,0.0798202503240241,-0.2821869716103134,-0.7334402657688903,2.8247460677561915,0.823894826228652,174.17731888357162 ,161.1877905,-61.2641063
J15192689-0743200,20110322,0.7876388897967082,2.3639548193265103,1.4760501847507563,2.2466909049709853,1.025158043064973,1.2553860527905083,2.0787066349573093,4.6718867416081755,3.7815932540267005,-3.1292829124241974 ,230.007954,-7.7608724
J08490225+0329470,20110322,0.5601597939338516,2.696190195460821,1.0035553682285552,1.4032765880653286,0.7104036128978679,0.7509619044788904,0.6188497887305275,5.25211851872576,2.9865467048483407,28.042037161309793 ,132.4066374,3.4564911
J16552527-0819207,20110322,0.6864899317740689,1.7343087612760877,0.7888937407366927,1.8710245942179546,0.884838562013212,1.0131010313383169,1.3826863361941535,4.096016506602314,2.524391305381488,26.123045348454074 ,254.0058301,-8.3406795
J16274671-0104153,20110322,1.2801673334472592,3.146301144004466,2.115441080860325,2.884586642205848,1.363783551352183,1.5284590708369514,2.3327648775663317,2.510566371308194,2.428550596483042,-147.09038644954046 ,247.0900423,-1.0941381
J17370367-4419088,20110322,-0.6402066604257879,-0.9526936818293243,-0.13756218394132474,-0.299800133780057,-0.3481426168666993,0.09784296284454708,0.24440822757391772,3.1311563156079183,-1.5148938461133796,-939.4930214653144 ,264.465339,-44.3298575
J12384914-3822527,20110322,-0.19397718936395894,2.1693971722556262,0.3534478354570606,0.4132702600573399,0.36529289236043183,0.1389017487323384,0.2933378824118048,3.4234970325155336,2.0847472066596007,36.460591107208764 ,189.853911,-38.4484712
J10442131-6112385,20110322,0.9627800600053815,2.652005160589035,0.6995910175042483,1.7203489393620575,0.9477077949651389,0.7723817611934338,0.6154805759170298,4.018704896522435,2.3067737791175986,5.014142862463605 ,161.7712234,-24.6429153
J14294291-6240465,20110322,0.3251473400342544,-0.47320625778818376,-0.3939634472349788,0.006790887756203838,-0.0059803214539358995,0.041203150670031004,0.5176096382706419,5.836348446034423,2.0600198813653785,4.579999329394121 ,217.6166111,-62.728688
J10463327-2435111,20110322,0.9614343920927573,2.8694048191934933,0.7373242710177776,1.568667059071027,0.8550401413228195,0.7196322021102836,0.35882370753999826,4.017863075518434,2.3059089082039153,5.029953653639005 ,161.7712234,-24.6429153
J14264583-0510194,20110322,0.8260491764483621,2.453034371959168,1.6011693233676225,2.8002968282211573,1.2117967415550193,1.5888138021913851,1.7447058750178512,7.908765044160404,4.138645416698713,-20.273943779436163 ,216.8388562,-5.2211489
J05581716-0438012,20110322,0.34702723205447467,1.477933074307235,0.8150022517247457,2.3087065740192556,1.0042623372658173,1.2835353730743326,0.794455919910563,4.226345613983019,2.315251613578293,166.210028145506 ,89.7100625,-4.6318305
J12095813-4611323,20110322,0.6395258411746243,3.4123015153631906,1.6087911974529256,2.697788749092002,1.2282431074337101,1.4780492119397717,1.1807307474103326,6.114047315386072,4.064625525854158,1.6465284699082134 ,182.635287,-46.2559827
J10481258-1120082,20110322,-0.10384164695353665,1.3842609300679904,-0.5739116264228304,-0.9131338965646197,-0.3701737834208257,-0.5246734095116099,-1.6071625960286329,4.3702827381469564,1.143446444043501,20.515752530201667 ,162.1940597,-11.3983909
J12485345+1204326,20110322,0.2585093309430173,2.3443463035321277,0.9543663760812341,0.8217013865173809,0.49297525330991143,0.4110042902155431,-0.028108635318921826,4.750699175088483,1.8446179843612138,27.400143764006856 ,192.3658677,12.0161098
J16553529-0823401,20110323,0.5061772832328602,0.08189671544087392,0.31784068511433167,-0.1688599799980854,-0.059449171111640296,-0.1693538538507647,-0.049490018768392374,4.339240686544482,0.6458746698152931,36.1669075251284 ,254.0448666,-8.4121109
J07515465-0000117,20110323,0.4799990054538892,1.393695046323108,0.772694952571775,1.370813705283581,0.7064950676095634,0.7014511933196559,1.2294032428856954,4.725332208797997,2.6822167658279974,45.65204247406894 ,118.1201043,-0.0341483
